drug_name,disease_name,protein_name
chlorhexidine,gingivitis,solute carrier family 22 member 3
chlorhexidine,gingivitis,solute carrier family 22 member 2
pexidartinib,tenosynovial giant cell tumor,protein kinase c theta
betamethasone,aspiration pneumonitis,nuclear receptor subfamily 3 group c member 1
cortisol,aspiration pneumonitis,nuclear receptor subfamily 3 group c member 1
cortisol,aspiration pneumonitis,sex hormone binding globulin
cortisol,aspiration pneumonitis,serpin family a member 6
triamcinolone,aspiration pneumonitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,aspiration pneumonitis,serpin family a member 6
methylprednisolone,aspiration pneumonitis,nuclear receptor subfamily 3 group c member 1
prednisolone,aspiration pneumonitis,nuclear receptor subfamily 3 group c member 1
prednisolone,aspiration pneumonitis,serpin family a member 6
ifosfamide,bone osteosarcoma,cytochrome p450 family 3 subfamily a member 4
epirubicin,bone osteosarcoma,dna topoisomerase ii alpha
etoposide,bone osteosarcoma,glutathione s-transferase pi 1
etoposide,bone osteosarcoma,dna topoisomerase ii alpha
etoposide,bone osteosarcoma,cytochrome p450 family 3 subfamily a member 4
floxuridine,liver cancer,thymidylate synthetase
prednisolone,pulmonary fibrosis,serpin family a member 6
butenafine,dermatophytosis of groin and perianal area,squalene epoxidase
betamethasone,dermatophytosis of groin and perianal area,nuclear receptor subfamily 3 group c member 1
clotrimazole,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 1
clotrimazole,dermatophytosis of groin and perianal area,cytochrome p450 family 17 subfamily a member 1
clotrimazole,dermatophytosis of groin and perianal area,cytochrome p450 family 51 subfamily a member 1
clotrimazole,dermatophytosis of groin and perianal area,potassium calcium-activated channel subfamily n member 4
cortisol,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 2
cortisol,dermatophytosis of groin and perianal area,nuclear receptor subfamily 3 group c member 1
cortisol,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 1
cortisol,dermatophytosis of groin and perianal area,sex hormone binding globulin
cortisol,dermatophytosis of groin and perianal area,serpin family a member 6
miconazole,dermatophytosis of groin and perianal area,cytochrome p450 family 51 subfamily a member 1
miconazole,dermatophytosis of groin and perianal area,potassium calcium-activated channel subfamily n member 4
miconazole,dermatophytosis of groin and perianal area,cytochrome p450 family 17 subfamily a member 1
miconazole,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 1
ethinylestradiol,postmenopausal atrophic vaginitis,estrogen receptor 2
medroxyprogesterone,postmenopausal atrophic vaginitis,progesterone receptor
medroxyprogesterone,postmenopausal atrophic vaginitis,estrogen receptor 1
norgestimate,postmenopausal atrophic vaginitis,estrogen receptor 1
norgestimate,postmenopausal atrophic vaginitis,progesterone receptor
norethisterone,postmenopausal atrophic vaginitis,progesterone receptor
progesterone,postmenopausal atrophic vaginitis,progesterone receptor
progesterone,postmenopausal atrophic vaginitis,estrogen receptor 1
butenafine,tinea corporis,squalene epoxidase
cortisol,tinea corporis,cytochrome p450 family 11 subfamily b member 2
cortisol,tinea corporis,nuclear receptor subfamily 3 group c member 1
cortisol,tinea corporis,cytochrome p450 family 11 subfamily b member 1
cortisol,tinea corporis,sex hormone binding globulin
cortisol,tinea corporis,serpin family a member 6
betamethasone,tinea corporis,nuclear receptor subfamily 3 group c member 1
clotrimazole,tinea corporis,cytochrome p450 family 11 subfamily b member 1
clotrimazole,tinea corporis,cytochrome p450 family 17 subfamily a member 1
clotrimazole,tinea corporis,cytochrome p450 family 51 subfamily a member 1
clotrimazole,tinea corporis,potassium calcium-activated channel subfamily n member 4
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 11
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 5
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 10
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 9
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 3
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 7
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 2
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 8
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 1
benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 4
miconazole,tinea corporis,cytochrome p450 family 51 subfamily a member 1
miconazole,tinea corporis,potassium calcium-activated channel subfamily n member 4
miconazole,tinea corporis,cytochrome p450 family 17 subfamily a member 1
miconazole,tinea corporis,cytochrome p450 family 11 subfamily b member 1
loteprednol etabonate,punctate epithelial keratoconjunctivitis,nuclear receptor subfamily 3 group c member 1
ethacrynic acid,hypercalcemia disease,solute carrier family 12 member 1
bumetanide,hypercalcemia disease,solute carrier family 12 member 1
furosemide,hypercalcemia disease,solute carrier family 12 member 1
danazol,gynecomastia disorder,androgen receptor
danazol,gynecomastia disorder,cytochrome p450 family 19 subfamily a member 1
danazol,gynecomastia disorder,gonadotropin releasing hormone receptor
chloroquine,plasmodium ovale malaria,toll like receptor 9
chloroquine,plasmodium ovale malaria,transmembrane protein 97
hydroxychloroquine,plasmodium ovale malaria,toll like receptor 7
hydroxychloroquine,plasmodium ovale malaria,toll like receptor 9
hydroxychloroquine,plasmodium ovale malaria,transmembrane protein 97
morphine,diarrheal disease,opioid receptor mu 1
morphine,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
clonidine,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
clonidine,diarrheal disease,solute carrier family 22 member 5
diphenoxylate,diarrheal disease,opioid receptor mu 1
difenoxin,diarrheal disease,opioid receptor mu 1
loperamide,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
loperamide,diarrheal disease,calcium voltage-gated channel subunit alpha1 a
codeine,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
codeine,diarrheal disease,opioid receptor mu 1
alfacalcidol,hyperparathyroidism,cytochrome p450 family 27 subfamily b member 1
alfacalcidol,hyperparathyroidism,vitamin d receptor
diclofenamide,angle-closure glaucoma,carbonic anhydrase 14
diclofenamide,angle-closure glaucoma,carbonic anhydrase 3
acetazolamide,angle-closure glaucoma,carbonic anhydrase 11
prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 2
prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 3
prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 5
prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 1
lidocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 2
lidocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 3
lidocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 4
lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 2
lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 9
lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 3
lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 5
lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 10
lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 4
ceftriaxone,chancroid,synuclein alpha
flibanserin,hypoactive sexual desire disorder,5-hydroxytryptamine receptor 1a
lisuride,amenorrhea,5-hydroxytryptamine receptor 2b
lisuride,amenorrhea,dopamine receptor d4
lisuride,amenorrhea,dopamine receptor d5
norethisterone,amenorrhea,sex hormone binding globulin
ethinylestradiol,amenorrhea,sex hormone binding globulin
desogestrel,amenorrhea,sex hormone binding globulin
estradiol valerate,amenorrhea,sex hormone binding globulin
estrone,amenorrhea,sex hormone binding globulin
triamcinolone,epicondylitis,serpin family a member 6
prednisolone,epicondylitis,serpin family a member 6
prednisone,epicondylitis,nuclear receptor subfamily 3 group c member 1
(-)-adrenaline,toxic shock syndrome,tumor necrosis factor
clomiphene,oligospermia,estrogen receptor 1
ceftriaxone,rhinoscleroma,synuclein alpha
ivermectin,strongyloidiasis,glycine receptor alpha 3
betamethasone,tinea pedis,prostaglandin-endoperoxide synthase 2
sertaconazole,tinea pedis,cytochrome p450 family 51 subfamily a member 1
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 11
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 5
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 9
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 3
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 7
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 2
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 8
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 1
benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 4
cortisol,tinea pedis,cytochrome p450 family 11 subfamily b member 2
cortisol,tinea pedis,cytochrome p450 family 11 subfamily b member 1
cortisol,tinea pedis,sex hormone binding globulin
cortisol,tinea pedis,serpin family a member 6
miconazole,tinea pedis,cytochrome p450 family 51 subfamily a member 1
miconazole,tinea pedis,potassium calcium-activated channel subfamily n member 4
miconazole,tinea pedis,cytochrome p450 family 17 subfamily a member 1
miconazole,tinea pedis,cytochrome p450 family 11 subfamily b member 1
clotrimazole,tinea pedis,cytochrome p450 family 11 subfamily b member 1
clotrimazole,tinea pedis,cytochrome p450 family 17 subfamily a member 1
clotrimazole,tinea pedis,cytochrome p450 family 51 subfamily a member 1
clotrimazole,tinea pedis,potassium calcium-activated channel subfamily n member 4
azelastine,vasomotor rhinitis,adrenoceptor alpha 1b
azelastine,vasomotor rhinitis,adrenoceptor alpha 1a
dextromethorphan,vasomotor rhinitis,solute carrier family 6 member 2
promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 4
promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 5
promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 2
promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 3
promethazine,vasomotor rhinitis,adrenoceptor alpha 1a
promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 1
chlorpheniramine,vasomotor rhinitis,solute carrier family 6 member 2
pseudoephedrine,vasomotor rhinitis,adrenoceptor alpha 2a
pseudoephedrine,vasomotor rhinitis,solute carrier family 6 member 2
pseudoephedrine,vasomotor rhinitis,adrenoceptor beta 2
ephedrine,vasomotor rhinitis,solute carrier family 6 member 2
ephedrine,vasomotor rhinitis,adrenoceptor beta 2
n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 1
n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 5
n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 2
n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 3
n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 4
diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 2
diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 4
diphenhydramine,vasomotor rhinitis,solute carrier family 6 member 2
diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 1
diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 5
diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 3
beclometasone,vasomotor rhinitis,nuclear receptor subfamily 3 group c member 1
brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 4
brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 2
brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 5
brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 3
brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 1
clemastine,vasomotor rhinitis,adrenoceptor alpha 2a
clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 4
clemastine,vasomotor rhinitis,transmembrane protein 97
clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 3
clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 5
clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 1
clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 2
phenylephrine,vasomotor rhinitis,adrenoceptor alpha 2a
doxylamine,vasomotor rhinitis,cholinergic receptor muscarinic 1
imiquimod,superficial multifocal basal cell carcinoma,toll like receptor 7
5-fluorouracil,superficial multifocal basal cell carcinoma,thymidylate synthetase
paclitaxel,cervical cancer,tubulin beta class i
5-fluorouracil,cervical cancer,methylenetetrahydrofolate reductase
topotecan,cervical cancer,dna topoisomerase i mitochondrial
spironolactone,hyperaldosteronism,nuclear receptor subfamily 3 group c member 1
spironolactone,hyperaldosteronism,cytochrome p450 family 11 subfamily b member 2
spironolactone,hyperaldosteronism,cytochrome p450 family 11 subfamily b member 1
dextromethorphan,rhinitis,opioid receptor mu 1
dextromethorphan,rhinitis,solute carrier family 6 member 2
beclometasone,rhinitis,nuclear receptor subfamily 3 group c member 1
hydrocodone,rhinitis,opioid receptor mu 1
ephedrine,rhinitis,adrenoceptor alpha 1a
ephedrine,rhinitis,solute carrier family 6 member 2
ephedrine,rhinitis,adrenoceptor beta 2
pseudoephedrine,rhinitis,solute carrier family 6 member 2
pseudoephedrine,rhinitis,adrenoceptor beta 2
codeine,rhinitis,opioid receptor mu 1
triamterene,potassium deficiency disease,sodium channel epithelial 1 subunit beta
triamterene,potassium deficiency disease,sodium channel epithelial 1 subunit gamma
triamterene,potassium deficiency disease,sodium channel epithelial 1 subunit alpha
cortisol,keratitis,annexin a1
cortisol,keratitis,sex hormone binding globulin
cortisol,keratitis,serpin family a member 6
prednisolone,keratitis,serpin family a member 6
propylthiouracil,hyperthyroidism,iodothyronine deiodinase 1
carbimazole,hyperthyroidism,thyroid peroxidase
lidocaine,scabies,sodium voltage-gated channel alpha subunit 2
lidocaine,scabies,sodium voltage-gated channel alpha subunit 3
lidocaine,scabies,sodium voltage-gated channel alpha subunit 4
everolimus,kidney angiomyolipoma,fkbp prolyl isomerase 1a
fluorometholone,corneal ulcer,nuclear receptor subfamily 3 group c member 1
fluorometholone,corneal ulcer,serpin family a member 6
prednisolone,corneal ulcer,serpin family a member 6
cortisol,corneal ulcer,sex hormone binding globulin
cortisol,corneal ulcer,serpin family a member 6
mupirocin,impetigo,isoleucyl-trna synthetase 1
ceftriaxone,bacterial pneumonia,synuclein alpha
hydroxocobalamin,homocystinuria,5-methyltetrahydrofolate-homocysteine methyltransferase
hydroxocobalamin,homocystinuria,metabolism of cobalamin associated a
hydroxocobalamin,homocystinuria,metabolism of cobalamin associated c
hydroxocobalamin,homocystinuria,methylenetetrahydrofolate reductase
hydroxocobalamin,homocystinuria,5-methyltetrahydrofolate-homocysteine methyltransferase reductase
montelukast,intrinsic asthma,cysteinyl leukotriene receptor 1
montelukast,intrinsic asthma,arachidonate 5-lipoxygenase
mometasone,intrinsic asthma,nuclear receptor subfamily 3 group c member 1
salmeterol,intrinsic asthma,adrenoceptor beta 2
fluticasone,intrinsic asthma,nuclear receptor subfamily 3 group c member 1
zileuton,intrinsic asthma,arachidonate 5-lipoxygenase
zileuton,intrinsic asthma,epoxide hydrolase 2
formoterol,intrinsic asthma,adrenoceptor beta 2
fluorometholone,iridocyclitis,serpin family a member 6
cortisol,iridocyclitis,sex hormone binding globulin
cortisol,iridocyclitis,serpin family a member 6
prednisolone,iridocyclitis,serpin family a member 6
fluticasone,allergic asthma,nuclear receptor subfamily 3 group c member 1
montelukast,allergic asthma,cysteinyl leukotriene receptor 1
montelukast,allergic asthma,arachidonate 5-lipoxygenase
formoterol,allergic asthma,adrenoceptor beta 2
zileuton,allergic asthma,arachidonate 5-lipoxygenase
zileuton,allergic asthma,epoxide hydrolase 2
mometasone,allergic asthma,nuclear receptor subfamily 3 group c member 1
salmeterol,allergic asthma,adrenoceptor beta 2
fluorometholone,otitis externa,nuclear receptor subfamily 3 group c member 1
fluorometholone,otitis externa,serpin family a member 6
prednisolone,otitis externa,nuclear receptor subfamily 3 group c member 1
prednisolone,otitis externa,serpin family a member 6
cortisol,otitis externa,sex hormone binding globulin
cortisol,otitis externa,serpin family a member 6
(-)-noradrenaline,bronchiectasis,adrenoceptor alpha 2a
(-)-noradrenaline,bronchiectasis,adrenoceptor alpha 2b
(-)-noradrenaline,bronchiectasis,adrenoceptor alpha 1b
(-)-noradrenaline,bronchiectasis,adrenoceptor beta 1
(-)-noradrenaline,bronchiectasis,adrenoceptor alpha 1a
(-)-noradrenaline,bronchiectasis,adrenoceptor alpha 2c
(-)-noradrenaline,bronchiectasis,adrenoceptor alpha 1d
terbutaline,bronchiectasis,adrenoceptor beta 2
terbutaline,bronchiectasis,adrenoceptor beta 1
(-)-adrenaline,bronchiectasis,tumor necrosis factor
(-)-adrenaline,bronchiectasis,adrenoceptor alpha 2c
5-fluorouracil,oral mucosa leukoplakia,thymidylate synthetase
formoterol,pulmonary emphysema,cytochrome p450 family 2 subfamily a member 6
formoterol,pulmonary emphysema,adrenoceptor beta 1
formoterol,pulmonary emphysema,adrenoceptor beta 3
(-)-noradrenaline,pulmonary emphysema,adrenoceptor alpha 2a
(-)-noradrenaline,pulmonary emphysema,adrenoceptor beta 3
(-)-noradrenaline,pulmonary emphysema,adrenoceptor alpha 2b
(-)-noradrenaline,pulmonary emphysema,adrenoceptor alpha 1b
(-)-noradrenaline,pulmonary emphysema,adrenoceptor beta 1
(-)-noradrenaline,pulmonary emphysema,adrenoceptor alpha 1a
(-)-noradrenaline,pulmonary emphysema,adrenoceptor alpha 2c
(-)-noradrenaline,pulmonary emphysema,adrenoceptor alpha 1d
(-)-adrenaline,pulmonary emphysema,adrenoceptor beta 3
(-)-adrenaline,pulmonary emphysema,tumor necrosis factor
(-)-adrenaline,pulmonary emphysema,adrenoceptor alpha 2c
salmeterol,pulmonary emphysema,adrenoceptor beta 3
salmeterol,pulmonary emphysema,adrenoceptor beta 1
dyphylline,pulmonary emphysema,adenosine a1 receptor
dyphylline,pulmonary emphysema,adenosine a2a receptor
dyphylline,pulmonary emphysema,phosphodiesterase 3a
terbutaline,pulmonary emphysema,adrenoceptor beta 1
theophylline,pulmonary emphysema,adenosine a2a receptor
theophylline,pulmonary emphysema,adenosine a2b receptor
theophylline,pulmonary emphysema,phosphodiesterase 4c
theophylline,pulmonary emphysema,phosphodiesterase 4a
theophylline,pulmonary emphysema,phosphodiesterase 3a
theophylline,pulmonary emphysema,phosphodiesterase 4d
theophylline,pulmonary emphysema,phosphodiesterase 4b
theophylline,pulmonary emphysema,adenosine a1 receptor
theophylline,pulmonary emphysema,adenosine a3 receptor
cortisol,tenosynovitis,sex hormone binding globulin
cortisol,tenosynovitis,serpin family a member 6
indomethacin,tenosynovitis,c-x-c motif chemokine ligand 8
indomethacin,tenosynovitis,aldo-keto reductase family 1 member c3
diclofenac,tenosynovitis,prostaglandin-endoperoxide synthase 2
diclofenac,tenosynovitis,prostaglandin-endoperoxide synthase 1
diclofenac,tenosynovitis,c-x-c motif chemokine ligand 8
betamethasone,tenosynovitis,prostaglandin-endoperoxide synthase 2
betamethasone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,tenosynovitis,prostaglandin-endoperoxide synthase 2
triamcinolone,tenosynovitis,serpin family a member 6
salicylic acid,tenosynovitis,prostaglandin-endoperoxide synthase 1
salicylic acid,tenosynovitis,prostaglandin-endoperoxide synthase 2
prednisolone,tenosynovitis,serpin family a member 6
betamethasone,tendinitis,prostaglandin-endoperoxide synthase 2
betamethasone,tendinitis,nuclear receptor subfamily 3 group c member 1
sulindac,tendinitis,prostaglandin-endoperoxide synthase 1
sulindac,tendinitis,prostaglandin-endoperoxide synthase 2
triamcinolone,tendinitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,tendinitis,prostaglandin-endoperoxide synthase 2
triamcinolone,tendinitis,serpin family a member 6
salicylic acid,tendinitis,prostaglandin-endoperoxide synthase 1
salicylic acid,tendinitis,prostaglandin-endoperoxide synthase 2
diclofenac,tendinitis,prostaglandin-endoperoxide synthase 2
diclofenac,tendinitis,prostaglandin-endoperoxide synthase 1
diclofenac,tendinitis,c-x-c motif chemokine ligand 8
cortisol,tendinitis,nuclear receptor subfamily 3 group c member 1
cortisol,tendinitis,sex hormone binding globulin
cortisol,tendinitis,serpin family a member 6
methylprednisolone,tendinitis,nuclear receptor subfamily 3 group c member 1
naproxen,tendinitis,prostaglandin-endoperoxide synthase 1
naproxen,tendinitis,aldo-keto reductase family 1 member c3
naproxen,tendinitis,prostaglandin-endoperoxide synthase 2
indomethacin,tendinitis,c-x-c motif chemokine ligand 8
indomethacin,tendinitis,prostaglandin-endoperoxide synthase 1
indomethacin,tendinitis,prostaglandin-endoperoxide synthase 2
indomethacin,tendinitis,aldo-keto reductase family 1 member c3
prednisolone,tendinitis,nuclear receptor subfamily 3 group c member 1
prednisolone,tendinitis,serpin family a member 6
etodolac,tendinitis,prostaglandin-endoperoxide synthase 1
etodolac,tendinitis,prostaglandin-endoperoxide synthase 2
lidocaine,hemorrhoid,sodium voltage-gated channel alpha subunit 2
lidocaine,hemorrhoid,sodium voltage-gated channel alpha subunit 3
lidocaine,hemorrhoid,sodium voltage-gated channel alpha subunit 4
cortisol,hemorrhoid,nuclear receptor subfamily 3 group c member 1
cortisol,hemorrhoid,sex hormone binding globulin
cortisol,hemorrhoid,serpin family a member 6
lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 2
lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 9
lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 3
lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 5
lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 10
lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 4
terbutaline,bronchitis,adrenoceptor beta 1
theophylline,bronchitis,adenosine a2a receptor
theophylline,bronchitis,adenosine a2b receptor
theophylline,bronchitis,phosphodiesterase 4a
theophylline,bronchitis,phosphodiesterase 3a
theophylline,bronchitis,phosphodiesterase 4b
theophylline,bronchitis,adenosine a1 receptor
theophylline,bronchitis,adenosine a3 receptor
ephedrine,bronchitis,adrenoceptor alpha 1a
minocycline,bronchitis,vascular endothelial growth factor a
methylprednisolone,bronchitis,nuclear receptor subfamily 3 group c member 1
betamethasone,bronchitis,nuclear receptor subfamily 3 group c member 1
prednisolone,bronchitis,nuclear receptor subfamily 3 group c member 1
(-)-noradrenaline,bronchitis,adrenoceptor alpha 2a
(-)-noradrenaline,bronchitis,adrenoceptor beta 3
(-)-noradrenaline,bronchitis,adrenoceptor alpha 2b
(-)-noradrenaline,bronchitis,adrenoceptor alpha 1b
(-)-noradrenaline,bronchitis,adrenoceptor beta 1
(-)-noradrenaline,bronchitis,adrenoceptor alpha 1a
(-)-noradrenaline,bronchitis,adrenoceptor alpha 2c
(-)-noradrenaline,bronchitis,adrenoceptor alpha 1d
(-)-adrenaline,bronchitis,adrenoceptor beta 3
(-)-adrenaline,bronchitis,adrenoceptor alpha 2c
triamcinolone,bronchitis,nuclear receptor subfamily 3 group c member 1
betahistine,meniere disease,histamine receptor h3
betahistine,meniere disease,histamine receptor h1
cinnarizine,motion sickness,calcium voltage-gated channel subunit alpha1 c
clotrimazole,vulvovaginal candidiasis,cytochrome p450 family 51 subfamily a member 1
clotrimazole,vulvovaginal candidiasis,potassium calcium-activated channel subfamily n member 4
tioconazole,vulvovaginal candidiasis,cytochrome p450 family 51 subfamily a member 1
miconazole,vulvovaginal candidiasis,cytochrome p450 family 51 subfamily a member 1
miconazole,vulvovaginal candidiasis,potassium calcium-activated channel subfamily n member 4
amlodipine,prinzmetal angina,atp binding cassette subfamily b member 1
amlodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
amlodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
diltiazem,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
diltiazem,prinzmetal angina,atp binding cassette subfamily b member 1
nifedipine,prinzmetal angina,atp binding cassette subfamily b member 1
nifedipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
nifedipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 f
verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
verapamil,prinzmetal angina,atp binding cassette subfamily b member 1
verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 i
verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
felodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
felodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
felodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
felodipine,prinzmetal angina,atp binding cassette subfamily b member 1
nicardipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
nicardipine,prinzmetal angina,atp binding cassette subfamily b member 1
nicardipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
irinotecan,pancreatic adenocarcinoma,dna topoisomerase i
gemcitabine,pancreatic adenocarcinoma,ribonucleotide reductase regulatory subunit m2
gemcitabine,pancreatic adenocarcinoma,ribonucleotide reductase catalytic subunit m1
gemcitabine,pancreatic adenocarcinoma,"dna polymerase epsilon, catalytic subunit"
gemcitabine,pancreatic adenocarcinoma,"dna polymerase delta 1, catalytic subunit"
gemcitabine,pancreatic adenocarcinoma,"dna polymerase alpha 1, catalytic subunit"
gemcitabine,pancreatic adenocarcinoma,thymidylate synthetase
5-fluorouracil,pancreatic adenocarcinoma,thymidylate synthetase
capecitabine,pancreatic adenocarcinoma,thymidylate synthetase
erlotinib,pancreatic adenocarcinoma,mitogen-activated protein kinase kinase kinase 19
erlotinib,pancreatic adenocarcinoma,serine/threonine kinase 10
erlotinib,pancreatic adenocarcinoma,ste20 like kinase
erlotinib,pancreatic adenocarcinoma,solute carrier organic anion transporter family member 2b1
erlotinib,pancreatic adenocarcinoma,epidermal growth factor receptor
erlotinib,pancreatic adenocarcinoma,cyclin g associated kinase
aminosalicylic acid,pulmonary tuberculosis,prostaglandin-endoperoxide synthase 1
aminosalicylic acid,pulmonary tuberculosis,prostaglandin-endoperoxide synthase 2
daunorubicin,wilms tumor,nuclear receptor subfamily 5 group a member 1
daunorubicin,wilms tumor,dna topoisomerase ii alpha
vincristine,wilms tumor,nuclear receptor subfamily 0 group b member 1
bosutinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
bosutinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
imatinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
imatinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
dasatinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
sirolimus,lung lymphangioleiomyomatosis,fkbp prolyl isomerase 1a
sirolimus,lung lymphangioleiomyomatosis,eukaryotic translation initiation factor 4e
sirolimus,lung lymphangioleiomyomatosis,fkbp prolyl isomerase 1b
sirolimus,lung lymphangioleiomyomatosis,fkbp prolyl isomerase 5
propranolol,hemangioma,adrenoceptor beta 2
propranolol,hemangioma,adrenoceptor beta 1
desloratadine,allergic urticaria,histamine receptor h1
prednisolone,erythema multiforme,serpin family a member 6
triamcinolone,erythema multiforme,serpin family a member 6
prednisone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
cortisol,erythema multiforme,nuclear receptor subfamily 3 group c member 1
cortisol,erythema multiforme,sex hormone binding globulin
cortisol,erythema multiforme,serpin family a member 6
cortisol,exanthem,nuclear receptor subfamily 3 group c member 1
cortisol,exanthem,sex hormone binding globulin
cortisol,exanthem,serpin family a member 6
